document_id,Cleaned_Review,,Sentiment
0,bought phone gf christmas gave early use holidays since refused upgrade 8 even though aggravation loves taking pictures needed better cameras phone like night day difference good also needed better battery life since 8 would drain almost completely within hours cant stop mentioning happy battery life phone looked great minimal flaws outside looked practically brand new definitely performs like brand new phone came block charging cord unexpected data switch old new phone adding cell service easy set need go anywhere get either completed nice delivery took days little edge since little pricey arrive time expect home sign luckily wont leave almost 1k phone door someone else steal refurbished phone cant go wrong highly recommend going route save cash cheers,,positive
1,doubts buying renewed products especially talking high cost phones always buy apple time seeing new iphone big changes decided give try phone new new apple store ? impressed quality control amazon seller offer products phone still 4 months warranty apple battery life 100 capacity would definitely recommend get phone kind service know familiar ios ? need specify great fluid phone works would recommend pro regular one 120hz range battery camera processor,,positive
2,purchased use outside usa sure carrier supports esim purchasing,,positive
3,ordered renewed excellent received screen phone scratched blemishes,,positive
4,got ? upgrade tmobile since taken phone went whim decided buy refurbished phone actually happy results purchase works great,,positive
5,love new phone came cardboard box charging cable sim tray tool ? aware esim opened box technically ? need sim tool able get set time straight talk phone upgrade iphone 11 pro max makes big difference purchased affirm ? great way get nice phone budget,,positive
6,would given five star never two small scratchesone top one bottom everything else perfect though 99 battery,,positive
7,like hope next 14 pro max come 100 battery capacity cresses look like new bot dream phone,,positive
8,cant give 5 stars still used item otherwise would,,neutral
9,primero sentí triste porque pensé que era el color que había elegido pero luego di cuenta que el color oro parece blanco estoy feliz mi batería está al 100,,neutral
